,CODIGO,NOMBRE FANTASIA,COMUNA,ESTACIONAMIENTO,ES PAR
231,92844,BUCANEROS,EL BOSQUE,NO,SI
232,92850,EL NEGRITO,RECOLETA,NO,SI
233,92904,SUPER ALMACEN,SAN BERNARDO,NO,SI
234,92914,LA FERIA DEL CASSETTE,SAN BERNARDO,NO,SI
235,92916,LA PALOMA,PUDAHUEL,NO,SI
236,92920,EL ARBOLITO,PUDAHUEL,NO,SI
237,92925,MINIMARKET VICTORIA PUDAH,SAN BERNARDO,NO,NO
238,92929,PAOLA,PUDAHUEL,NO,NO
239,92935,OLGA REGINA MEZA FUENTES,SAN BERNARDO,NO,NO
240,92936,KATTY,PUDAHUEL,NO,SI
241,92937,KARINA,SAN BERNARDO,NO,NO
242,92942,OLGA ELENA,SAN BERNARDO,NO,SI
243,92949,MACROSTORE,SAN BERNARDO,NO,NO
244,92950,EL PELONCITO,SAN BERNARDO,NO,SI
245,92954,BAZAR MELISSA,SAN BERNARDO,NO,SI
246,92956,PARAISO,PUDAHUEL,NO,SI
247,92967,FARM Y PERFUMERIA SERRANO,PUDAHUEL,NO,NO
248,92971,MINIMARKET FRANEDU,PUDAHUEL,NO,NO
249,92972,CATHERINNE,PUDAHUEL,NO,SI
250,92973,ANGELICA,PUDAHUEL,NO,NO
251,92974,EL LULO,PUDAHUEL,NO,SI
252,92976,ISABEL,PUDAHUEL,NO,SI
253,92980,MINIMARKET HOLLYWOOD,PUDAHUEL,NO,SI
254,92981,DONDE PANCHO,PUDAHUEL,NO,NO
255,92983,MINIMARKET FERNANDITA PUD,PUDAHUEL,NO,NO
256,92984,EL PEQUENO,PUDAHUEL,NO,SI
257,92985,SONIA,PUDAHUEL,NO,NO
258,92988,JANET OPAZO,PUDAHUEL,NO,SI
259,92989,LA BODEGUITA,PUDAHUEL,NO,NO
260,92991,GISELLE,PUDAHUEL,NO,NO
261,92993,RUFINA,PUDAHUEL,NO,NO
262,92997,MARCELA,PUDAHUEL,NO,NO
263,93000,ROSA AURORA VEJAR MUNOZ P,PUDAHUEL,NO,SI
264,93001,MILAGRO,PROVIDENCIA,NO,NO
265,93002,FARM ARAVIL,PUDAHUEL,NO,SI
266,93004,LUCHITO,PROVIDENCIA,NO,SI
267,93013,MANUEL GUILLERMO,PROVIDENCIA,NO,NO
268,93016,EL AGUILUCHO,PROVIDENCIA,NO,SI
269,93020,CHOCOLATE,PROVIDENCIA,NO,SI
270,93022,BAZAR ENTRES DOS,QUILICURA,NO,SI
271,93026,AXEL,QUILICURA,NO,SI
272,93027,NICOLE,QUILICURA,NO,NO
273,93030,BERNARDITA,QUILICURA,NO,SI
274,93033,MARIA ALICIA DIAZ VELOZO,QUILICURA,NO,NO
275,93035,REGINA CLEMENCIA ZUNIGA B,QUILICURA,NO,NO
276,93039,NICOLAS,QUILICURA,NO,NO
277,93041,CONNY,QUILICURA,NO,NO
278,93047,ALMACEN MIRIAM,QUILICURA,NO,NO
279,93056,PIMIENTA Y CANELA,QUILICURA,NO,SI
280,93074,CONIMAX,ÑUÑOA,NO,SI
281,93077,SANTA CORINA,QUILICURA,NO,NO
282,93092,ALMACEN EL TITO,QUILICURA,NO,SI
283,93093,YASNA,QUILICURA,NO,NO
284,93095,PATITO,ÑUÑOA,NO,NO
285,93098,LA PLUMA,ÑUÑOA,NO,SI
286,93099,LOS BIANCOS,ÑUÑOA,NO,NO
287,93101,COM NINO,ÑUÑOA,NO,NO
288,93102,BELORADO,QUILICURA,NO,SI
289,93105,YULI,ÑUÑOA,NO,NO
290,93107,BIP INTERNET POLLA LOTERIA RECARGAS,ÑUÑOA,NO,NO
291,93108,MANOLITO,ÑUÑOA,NO,SI
292,93115,LOS VINEDOS DEL CON. NUNO,ÑUÑOA,NO,NO
293,93118,EKEKO,ÑUÑOA,NO,SI
294,93120,IL TABAC,QUINTA NORMAL,NO,SI
295,93150,CARLOS MORALES,QUINTA NORMAL,NO,SI
296,93152,TIA ZUNI,QUINTA NORMAL,NO,SI
297,93161,SOC. COM. DICER.,QUINTA NORMAL,NO,NO
298,93164,DANA,QUINTA NORMAL,NO,SI
299,93168,MIGUEL PACHECO,QUINTA NORMAL,NO,SI
300,93172,MINIMARKET DANAE,QUINTA NORMAL,NO,SI
301,93175,MACARENA,QUINTA NORMAL,NO,NO
302,93180,IBANEZ,CERRO NAVIA,NO,SI
